Date,rahadi_oesman,sta2,sta3,sta4,sta5,sta6,sta7
20-Feb-05,0.4,0,4,1,4,2,2
21-Feb-05,0,0,2,1,2,0,0
22-Feb-05,8.1,0,15,4,9,0,0
23-Feb-05,2.6,4,5,0,14,7,3
24-Feb-05,0.2,5,13,13,8,5,3
25-Feb-05,0,0,12,6,0,3,14
26-Feb-05,2.4,3,1,0,12,0,7
27-Feb-05,0,0,3,13,0,3,2
28-Feb-05,10.9,0,3,1,2,0,0
01-Mar-05,0,1,2,5,3,6,0
02-Mar-05,4.6,19,4,31,6,55,3
03-Mar-05,84.7,2,6,15,1,16,30
04-Mar-05,0,6,5,0,26,0,2
05-Mar-05,0,5,25,44,5,25,8
06-Mar-05,0,0,4,4,0,11,5
07-Mar-05,0,0,11,1,11,4,16
08-Mar-05,37.5,2,11,0,45,3,12
09-Mar-05,0,15,16,78,30,28,15
10-Mar-05,0,15,11,7,11,5,12
11-Mar-05,0,12,9,49,8,21,35
12-Mar-05,0,17,10,12,0,6,21
13-Mar-05,0,7,28,3,10,13,55
14-Mar-05,0,0,13,2,1,3,6
15-Mar-05,0,11,77,0,0,2,22
16-Mar-05,0,2,18,5,20,3,8
17-Mar-05,2,6,35,7,22,0,10
18-Mar-05,20.1,26,38,72,6,22,36
19-Mar-05,9.6,11,41,12,50,3,17
20-Mar-05,22.9,1,21,25,6,16,41
21-Mar-05,0.9,0,36,53,0,27,4
22-Mar-05,0,6,1,10,15,1,5
23-Mar-05,31.6,0,17,66,0,69,12
24-Mar-05,1.5,5,1,0,1,0,0
25-Mar-05,0,0,3,1,0,2,15
26-Mar-05,74.9,0,1,0,0,0,0
27-Mar-05,12.4,0,0,0,0,0,0
28-Mar-05,35.5,1,1,0,0,0,7
29-Mar-05,0,0,10,1,2,0,0
30-Mar-05,39,2,0,0,1,0,0
31-Mar-05,0.7,54,1,2,2,3,14
01-Apr-05,0,7,6,3,8,2,11
02-Apr-05,0,0,16,2,8,11,19
03-Apr-05,3.6,0,62,17,0,0,0
04-Apr-05,0,0,0,0,19,0,0
05-Apr-05,50.8,15,34,32,0,6,12
06-Apr-05,0,26,13,12,23,0,65
07-Apr-05,15.2,3,30,8,98,19,20
08-Apr-05,9,27,119,21,0,34,66
09-Apr-05,0,18,1,0,12,25,0
10-Apr-05,0,0,6,4,0,4,13
11-Apr-05,0,6,0,0,7,0,3
12-Apr-05,0,7,14,2,7,2,0
13-Apr-05,0.5,0,17,1,0,1,20
14-Apr-05,1.1,0,1,0,0,0,0
15-Apr-05,0,0,0,0,0,0,12
16-Apr-05,0.3,0,0,0,0,0,0
17-Apr-05,11.8,0,0,0,0,0,3
18-Apr-05,0,8,0,0,0,0,0
19-Apr-05,0,0,0,0,56,0,2
20-Apr-05,8.6,25,36,20,19,13,34
21-Apr-05,3.3,3,30,17,3,16,5
22-Apr-05,0,4,1,6,0,0,3
23-Apr-05,13.4,17,13,0,17,19,3
24-Apr-05,0,4,3,12,3,17,0
25-Apr-05,19.1,8,2,14,1,16,3
26-Apr-05,3.8,0,12,0,0,0,0
27-Apr-05,42,0,0,0,0,0,0
28-Apr-05,135.6,0,0,0,0,0,0
29-Apr-05,2.9,0,0,0,0,2,0
30-Apr-05,21.2,13,0,0,23,9,1
01-May-05,40.6,0,33,6,28,29,1
02-May-05,3.9,0,0,0,0,9,0
03-May-05,47.3,0,0,2,5,28,0
04-May-05,10,23,3,1,9,0,4
05-May-05,1.8,0,13,12,4,5,10
06-May-05,13.3,9,1,2,3,0,0
07-May-05,8.8,16,0,0,0,0,16
08-May-05,14,1,0,0,0,0,0
09-May-05,0,0,0,0,4,0,17
10-May-05,0,0,0,0,0,0,0
11-May-05,1.9,0,0,0,0,0,0
12-May-05,10.8,0,0,0,0,0,0
13-May-05,0,0,0,0,0,0,0
14-May-05,0,0,0,0,0,0,1
15-May-05,2.6,0,0,0,0,0,0
16-May-05,0,0,0,0,0,0,0
17-May-05,0,0,0,0,0,0,0
18-May-05,0,0,0,0,0,0,0
19-May-05,0,3,0,0,0,0,0
20-May-05,0,0,0,0,0,0,25
21-May-05,0,0,0,0,0,0,55
22-May-05,-,0,0,0,0,0,1
23-May-05,26.5,0,0,0,0,0,0
24-May-05,6.4,0,0,0,0,0,0
25-May-05,21.7,0,0,0,0,0,0
26-May-05,0,1,0,0,0,0,0
27-May-05,0,0,0,0,0,0,0
28-May-05,0,0,0,0,0,0,2
29-May-05,0,0,0,0,0,0,0
30-May-05,0,0,0,0,0,0,0
31-May-05,1,0,0,0,0,0,0
01-Jun-05,0,0,0,0,0,0,0
02-Jun-05,0,0,0,0,0,0,0
03-Jun-05,0,0,0,0,0,0,0
04-Jun-05,0,0,0,0,0,0,12
05-Jun-05,8.2,0,0,0,0,0,0
06-Jun-05,0,0,0,0,1,0,0
07-Jun-05,0,0,0,0,0,0,0
08-Jun-05,0,0,0,0,0,0,0
09-Jun-05,0,0,0,0,0,0,0
10-Jun-05,0,4,0,0,0,0,4
11-Jun-05,4.5,0,20,3,22,18,5
12-Jun-05,9.7,0,0,0,0,0,0
13-Jun-05,0,0,1,0,2,0,1
14-Jun-05,0,0,2,0,0,0,0
15-Jun-05,0,0,0,0,0,0,0
16-Jun-05,0,0,0,0,0,0,0
17-Jun-05,0,0,0,0,0,0,2
18-Jun-05,0,0,0,0,0,0,0
19-Jun-05,0,0,0,0,0,0,0
20-Jun-05,5.6,0,0,0,0,0,0
21-Jun-05,13,0,0,0,0,0,0
22-Jun-05,2.6,0,0,0,0,0,0
23-Jun-05,0,0,0,0,0,0,0
24-Jun-05,0,0,0,0,0,0,0
