"","Date","rahadi_oesman","sta2","sta3","sta4","sta5","sta6","sta7"
"335",2004-11-30,15.3,0,0,"4",0,1,14
"336",2004-12-01,27.5,0,0,"0",25,0,2
"337",2004-12-02,6.7,0,38,"34",141,54,33
"338",2004-12-03,1.2,0,14,"38",3,54,10
"339",2004-12-04,23.4,0,6,"74",4,1,11
"340",2004-12-05,3.3,0,7,"48",10,6,16
"341",2004-12-06,32.1,0,14,"12",11,41,7
"342",2004-12-07,65.6,0,11,"3",0,0,37
"343",2004-12-08,1.4,0,0,"0",20,0,0
"344",2004-12-09,6.6,0,10,"2",19,3,13
"345",2004-12-10,0,0,8,"10",12,25,12
"346",2004-12-11,0,0,20,"8",3,6,13
"347",2004-12-12,5.6,0,3,"5",18,0,16
"348",2004-12-13,12.3,0,70,"37",0,52,34
"349",2004-12-14,14.9,0,25,"3",0,0,1
"350",2004-12-15,38.8,0,3,"0",3,2,9
"351",2004-12-16,NA,0,7,"32",14,2,4
"352",2004-12-17,1.7,0,38,"15",3,6,19
"353",2004-12-18,0,0,0,"0",2,0,2
"354",2004-12-19,1.4,0,2,"7",4,18,14
"355",2004-12-20,14.9,0,7,"10",24,2,0
"356",2004-12-21,0,0,7,"32",5,12,2
"357",2004-12-22,0,0,2,"1",0,13,10
"358",2004-12-23,40.6,0,2,"0",4,0,2
"359",2004-12-24,18.6,0,2,"3",11,2,21
"360",2004-12-25,26.6,0,3,"9",7,2,12
"361",2004-12-26,1.3,0,5,"3",0,3,7
"362",2004-12-27,NA,0,3,"0",0,0,1
"363",2004-12-28,19.6,0,2,"0",0,0,1
"364",2004-12-29,64.6,0,1,"0",0,0,0
"365",2004-12-30,4.4,0,0,"0",0,0,0
"366",2004-12-31,5.1,18,3,"1",2,2,3
"367",2005-01-01,0,4,2,"0",0,2,2
"368",2005-01-02,NA,0,0,"0",0,0,0
"369",2005-01-03,0,5,0,"0",0,0,0
"370",2005-01-04,34.8,0,0,"0",0,0,0
"371",2005-01-05,0,0,0,"0",0,0,0
"372",2005-01-06,17.4,0,0,"0",0,0,0
"373",2005-01-07,22.2,0,0,"0",0,0,0
"374",2005-01-08,NA,0,0,"0",0,0,0
